epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,30218,0.94947,0.81799,0.99605,0.61781,0.39914,0.44171,0.3102,1.12426,2.33172,1.1458,0.00109,0.00109,0.00109
92,30547.5,0.94425,0.79498,0.99506,0.60872,0.40211,0.44192,0.31088,1.12423,2.32867,1.14575,0.000991,0.000991,0.000991
93,30875.7,0.93678,0.78345,0.99134,0.60462,0.40587,0.44219,0.31118,1.12427,2.32619,1.1457,0.000892,0.000892,0.000892
94,31204.1,0.9322,0.76239,0.98918,0.61663,0.39972,0.44269,0.31148,1.12437,2.3249,1.14568,0.000793,0.000793,0.000793
95,31532.6,0.92844,0.75304,0.98753,0.60383,0.40823,0.44294,0.31166,1.12463,2.32215,1.14581,0.000694,0.000694,0.000694
96,31860.3,0.92055,0.75639,0.9846,0.60065,0.40916,0.44359,0.31196,1.1248,2.31877,1.1459,0.000595,0.000595,0.000595
97,32187.8,0.91583,0.73997,0.98043,0.62358,0.40036,0.44392,0.31238,1.12474,2.316,1.14578,0.000496,0.000496,0.000496
98,32516.3,0.91364,0.7389,0.98141,0.63265,0.39689,0.44467,0.31277,1.12489,2.31367,1.14568,0.000397,0.000397,0.000397
99,32846.8,0.90678,0.72498,0.97902,0.6324,0.39736,0.4451,0.3133,1.12526,2.31109,1.1456,0.000298,0.000298,0.000298
100,33176.7,0.90455,0.72082,0.97494,0.62125,0.40188,0.44534,0.31338,1.12551,2.30948,1.14573,0.000199,0.000199,0.000199
